Na,,O2,,O,,SiO,,Mg,,Fe,,SiO2,,NaO,,MgO,,FeO,,K,,AlO,,Na2,,TiO2,,Al,,Si,,Ca,,TiO,,CaO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2086.79373505408,-0.406772634153057,2073.58682899621,-0.598932767597594,2073.58682899621,-1.62478764666348,1928.31086235968,-3.57311124966598,1942.83845902333,-3.71448739645497,1986.42124901429,-3.06418158605742,1948.12122144648,-4.37182684599626,2070.94544778464,-3.1360470294825,2098.67995050616,-4.41127638728066,2034.55308442518,-3.08149868773455,2073.58682899621,-4.23846571171769,2932.03572275755,-4.42737313457007,2921.47019791126,-4.72587188352754,3053.53925848992,-4.69684769670518,3502.57406445739,-4.62954160829818,3769.3535668263,-4.61803201697208,3661.0569371518,-4.90326971505381,4009.71925707948,-4.79976679595456,3808.9742849999,-4.80068422714722
2115.84892838138,-0.398765961926201,2102.64202232352,-0.602685895203933,2102.64202232352,-1.58925803865681,1941.51776841754,-3.51311124966598,1958.68674629277,-3.65301950654672,2010.19367991845,-3.00271369614916,1963.96950871592,-4.31265253406965,2101.05719359657,-3.104358956088,2114.5282377756,-4.34797363498709,2060.37992293834,-3.03640891411667,2102.64202232352,-4.21019215041661,2961.09091608486,-4.36707288436157,2950.52539123856,-4.70785687101711,3082.59445181723,-4.67132642898208,3531.6292577847,-4.5965140853624,3798.40876015361,-4.58075094941578,3690.1121304791,-4.89508328137526,4038.77445040679,-4.78066754658008,3838.02947832721,-4.78392025717224
2144.90412170869,-0.391259706713524,2131.69721565082,-0.607940273852807,2131.69721565082,-1.55397863915723,1954.72467447541,-3.45366170838158,1975.855724168,-3.58860273066205,2033.96611082261,-2.94308066862623,1981.13848659114,-4.25072592856507,2129.05583443925,-3.04837396859843,2130.37652504504,-4.28558831388617,2085.85771161502,-2.99508193952658,2131.69721565082,-4.1824190061297,2990.14610941216,-4.30927471922395,2979.58058456587,-4.69334477760594,3111.64964514454,-4.64930808035823,3560.68445111201,-4.56523802197625,3827.46395348092,-4.54497113290202,3719.16732380641,-4.88765670421144,4066.69762321485,-4.76107457786714,3867.08467165452,-4.76415378511219
2173.959315036,-0.382252200458311,2160.75240897813,-0.612694235487502,2160.75240897813,-1.52045069920727,1967.93158053328,-3.39641400195956,1993.02470204322,-3.52503785517057,2059.05923233256,-2.88311124966598,1999.62815507216,-4.18545725228722,2158.11102776656,-2.99355328469518,2146.22481231448,-4.22641400195956,2107.92478474666,-2.95739815542078,2160.75240897813,-4.15664752989951,3019.20130273947,-4.2522271796076,3008.63577789318,-4.67933310120894,3140.70483847185,-4.62603868919893,3589.73964443932,-4.53446237560427,3856.51914680822,-4.50869089937408,3748.22251713372,-4.88325303448667,4095.0225954248,-4.74945015505089,3891.38537880099,-4.75054244232654
2203.0145083633,-0.375496570766902,2189.80760230544,-0.617448197122198,2189.80760230544,-1.48817380179276,1982.45917719693,-3.33283602030819,2008.87298931266,-3.46769840562929,2085.47304444829,-2.82228556159259,2018.11782355317,-4.12136813039993,2187.16622109386,-2.95339481930735,2160.75240897813,-4.17366170838158,2136.97997807397,-2.91085937310218,2189.80760230544,-4.1313764706835,3048.25649606678,-4.19818214207633,3037.69097122048,-4.66757330137575,3169.76003179915,-4.60602200863179,3618.79483776662,-4.50568839728901,3885.57434013553,-4.47416212539576,3777.27771046102,-4.87699782180944,4127.04060589353,-4.72473861906035,3925.19505830913,-4.72987521964097
2232.06970169061,-0.369991983610939,2218.86279563274,-0.622452367263983,2218.86279563274,-1.45614711288533,1995.6660832548,-3.27962501113387,2026.04196718789,-3.40498543053099,2108.44866479279,-2.7698960490048,2036.60749203418,-4.05845856290321,2216.22141442117,-2.91236062414472,2176.60069624757,-4.11075214088486,2166.03517140128,-2.86507121630485,2218.86279563274,-4.10685603698875,3077.31168939408,-4.14688939812303,3066.74616454779,-4.65856579512053,3198.81522512646,-4.58575511955756,3647.85003109393,-4.47741483598792,3914.62953346284,-4.43988355992454,3806.33290378833,-4.87149323465348,4154.36632342754,-4.70767268107921,3954.25025163644,-4.71261083265181
2261.12489501792,-0.364237187947886,2247.91798896005,-0.628207162927035,2247.91798896005,-1.42637230054171,2008.87298931266,-3.21586354324397,2044.5316356689,-3.34128949344056,2138.30066867976,-2.70737730471186,2056.41785112098,-3.99476262581277,2245.27660774848,-2.87157663748917,2195.09036472858,-4.04509027981015,2195.09036472858,-2.82128472756423,2247.91798896005,-4.08383685433654,3106.36688272139,-4.09734811371937,3093.15997666352,-4.65042011816752,3227.87041845377,-4.56723969003296,3676.90522442124,-4.44939148319393,3944.565187194,-4.4057718001247,3835.38809711564,-4.86598864749751,4184.05041704332,-4.69112529049289,3983.30544496374,-4.6965974881981
2290.18008834523,-0.359983643327369,2276.97318228736,-0.63346154157591,2276.97318228736,-1.39609707118392,2027.17513254989,-3.14361025397957,2063.02130414992,-3.27837992594383,2162.07309958392,-2.64714794691369,2076.22821020778,-3.92730085211247,2274.33180107578,-2.83254411038325,2212.25934260381,-3.98375345150085,2224.14555805589,-2.77949990688033,2276.97318228736,-4.06131808869851,3135.4220760487,-4.05030891438659,3140.70483847185,-4.64230224215973,3256.92561178107,-4.54897446901544,3705.96041774854,-4.42186854741411,3972.73992011745,-4.37432893106716,3864.44329044294,-4.86073426884864,4204.30100633205,-4.68143760577181,4012.36063829105,-4.6803339352373
2319.23528167253,-0.355980307213941,2306.02837561467,-0.638966128731873,2306.02837561467,-1.36807371838992,2044.5316356689,-3.07038516840779,2081.51097263093,-3.21625672804082,2182.08664184084,-2.60235865363816,2102.64202232352,-3.84261175934998,2303.38699440309,-2.79526304282695,2229.42832047904,-3.92320299278525,2253.2007513832,-2.73871592022478,2306.02837561467,-4.03980015708884,3164.47726937601,-4.00275261747249,3169.76003179915,-4.63754828052504,3285.98080510838,-4.53296112456173,3735.01561107585,-4.39684769670519,4001.79511344476,-4.34067588686365,3893.49848377025,-4.85573009870686,,,4041.41583161836,-4.66356996526232
2348.29047499984,-0.351726762593424,2335.08356894197,-0.644470715887836,2335.08356894197,-1.34130140813137,2058.31751512901,-3.01415066896228,2100.00064111194,-3.15452671493466,2210.93865199802,-2.55556329303546,2123.08799810963,-3.78349832673784,2332.4421877304,-2.75898280929901,2247.91798896005,-3.85990024049167,2282.2559447105,-2.69968339311886,2335.08356894197,-4.01903285100043,3198.81522512646,-3.94953684242186,3198.81522512646,-4.63354494441161,3315.03599843569,-4.51644736309384,3764.07080440316,-4.37032559495373,4030.85030677207,-4.30075928969935,3921.23298649177,-4.85407410706333,,,4070.47102494567,-4.64830724632988
