Na,,O2,,SiO,,K,,O,,SiO2,,Mg,,MgO,,KO,,CrO,,Fe,,FeO,,NaO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1714.00471759768,-0.123444800990371,1714.00471759768,-0.70803590721585,1822.54970542245,-3.02055019632039,1715.68758562597,-1.39864037383128,1715.68758562597,-2.05972886229305,2051.3262646018,-3.31213902124568,1876.68196033248,-3.27863179991873,2336.10493205594,-3.35796902390933,2439.32083779113,-3.71281209557388,2035.19210128295,-3.25975439789867,1700.54177337135,-2.79740489166666,1712.32184956939,-3.11203387569628,1844.78760436773,-3.43749288888035
1732.51626590888,-0.123714995271156,1732.51626590888,-0.710431028780977,1842.74412176195,-2.93682983631627,1734.19913393717,-1.39631343476453,1734.19913393717,-2.03190279581421,2070.95972493186,-3.25878965982089,1895.75446465312,-3.21979856835877,2355.73839238601,-3.30779393657595,2460.77740515184,-3.68767384547847,2051.41975727004,-3.20606072469577,1716.86559324578,-2.7530239737073,1733.7784169301,-3.05425766069185,1861.88674558376,-3.40218481453264
1751.02781422008,-0.123749086520348,1751.02781422008,-0.710701223061762,1862.93853810144,-2.85527375410175,1752.71068224837,-1.3937503926662,1752.71068224837,-2.00572945055652,2087.36101015997,-3.21236003488249,1912.86362294074,-3.16745455442908,2378.56930196982,-3.25159361695737,2475.50250039939,-3.67146888009554,2070.60445279256,-3.14376485528607,1736.55514917678,-2.70111756744905,1751.02781422008,-3.01143672730347,1883.60041778212,-3.35771282300631
1769.53936253129,-0.126380311117068,1769.53936253129,-0.711679726437328,1883.97438845508,-2.7722708201995,1771.22223055958,-1.39307617482061,1771.22223055958,-1.97884779620406,2105.55201218007,-3.16160515034425,1930.9264064444,-3.11130316780555,2397.81009309328,-3.20600607539025,2497.37978476717,-3.64839468296068,2088.02213688537,-3.08802349341419,1756.41299191061,-2.64739347776799,1768.23046517595,-2.96821892356464,1901.7647076113,-3.32146885654942
1788.05091084249,-0.12641440236626,1788.05091084249,-0.713366538907674,1905.85167282286,-2.68900306324845,1789.73377887078,-1.39074923575387,1789.73377887078,-1.95196614185159,2124.06356049127,-3.11431370059403,1949.79322689491,-3.05829867896727,2418.56546544221,-3.1552559134493,2521.36065417032,-3.62350636648813,2105.55201218007,-3.03145991259588,1773.84002527025,-2.60520772633614,1789.35980819782,-2.91746945033579,1917.6317490209,-3.28963681673173
1806.56245915369,-0.126448493615452,1806.56245915369,-0.713400630156866,1932.77756127552,-2.58530050294438,1808.24532718198,-1.38865839971872,1808.24532718198,-1.92697331175187,2143.55678181897,-3.06215443368648,1970.92256991678,-2.9971606723483,2435.95510173455,-3.11690807909314,2538.6100514603,-3.60748312718561,2124.96109010636,-2.97375272532741,1791.79061757202,-2.55964666574945,1808.00491746365,-2.8753312889104,1936.98473134625,-3.25129981237343
1825.07400746489,-0.126482584864644,1825.07400746489,-0.713434721406058,1957.17914768574,-2.49827963775875,1826.75687549318,-1.38822028490472,1826.75687549318,-1.90198048165215,2163.49876795422,-3.01278069732274,1990.33164784307,-2.94389746880783,2455.58856206461,-3.07192725845482,2557.1215997715,-3.58929006439578,2143.32305014838,-2.9207184496906,1812.9199605939,-2.51005147400839,1823.3911394366,-2.83918526715357,1961.59667626,-3.20563559132233
1843.58555577609,-0.126516676113836,1843.58555577609,-0.715829842971185,1980.73930008181,-2.41484374045081,1845.26842380438,-1.38612944886957,1845.26842380438,-1.87769596064722,2186.32967753804,-2.95658037770416,2011.68537326872,-2.88527043765207,2475.29214189585,-3.02932727251859,2573.95028005441,-3.57396911265289,2159.72433537648,-2.8693006797514,1829.64179211311,-2.47244444790849,1843.58555577609,-2.79377262402548,1979.17663691269,-3.17394583819566
1862.09710408729,-0.128675694647369,1862.09710408729,-0.71610003725197,2004.29945247789,-2.33326293839109,1863.77997211558,-1.38380250980283,1863.77997211558,-1.85388364570547,2205.9631378681,-2.90900242371831,2029.82295090697,-2.83855543993365,2492.69179525979,-2.99235016587684,2597.08971544342,-3.55287394696922,2178.30800660318,-2.81776325592272,1847.69923317858,-2.43133581269245,1865.0421231368,-2.74706373862699,1994.08203944898,-3.14688889766819
1880.6086523985,-0.129181991959748,1880.6086523985,-0.71802295275391,2028.70103888811,-2.25131266688397,1882.29152042679,-1.38289218892565,1882.29152042679,-1.83007133076372,2227.27946622645,-2.85822706117534,2050.41003645306,-2.78428440953448,2512.8060750265,-2.95025593444499,2611.81481069096,-3.53969897049175,2197.32441532287,-2.7674138899912,1867.81885538348,-2.38632703034268,1880.6086523985,-2.71506109498217,2016.92096269007,-3.1057478437895
